Arco_i Arco_j VecesRecorrido
============================
31837 31972 1
31837 32165 1
31886 31837 1
31892 48797 1
31905 31892 1
31930 31994 1
31930 31995 1
31947 31886 1
31951 31905 1
31965 31951 1
31972 31983 1
31983 31965 1
31991 31837 1
31991 32136 1
31994 31930 1
31994 32046 1
31995 31930 1
31995 32005 1
31995 48797 0
32004 31991 2
32004 32119 0
32005 32004 1
32005 32106 1
32006 31947 1
32046 31994 1
32046 32107 1
32057 32006 1
32106 32005 1
32106 32119 1
32106 32199 0
32107 32046 1
32107 32188 1
32119 32004 1
32119 32106 0
32119 32136 1
32136 31991 0
32136 32119 1
32136 32148 1
32144 32057 1
32148 32136 0
32148 32165 1
32148 51522 1
32165 32148 0
32165 32253 2
32188 32107 1
32188 32270 1
32199 32106 1
32199 32253 0
32199 32255 1
32211 32144 1
32216 32256 1
32253 32199 1
32253 32518 1
32255 32199 1
32255 32256 1
32255 32460 0
32256 32216 1
32256 32255 0
32256 32434 1
32270 32188 1
32270 32344 1
32288 32211 1
32344 32270 1
32344 32430 1
32353 32288 1
32430 32344 1
32430 32434 1
32430 32517 0
32434 32256 0
32434 32430 0
32434 32440 1
32434 32673 1
32440 32434 0
32440 32449 1
32440 51539 1
32440 52814 1
32449 32440 0
32449 32460 1
32449 51540 1
32460 32255 1
32460 32449 0
32460 32490 1
32460 32700 0
32490 32460 0
32490 32501 1
32490 32657 1
32501 32490 0
32501 32519 1
32501 32718 1
32517 32430 1
32517 32603 0
32518 32353 1
32518 32519 1
32518 32733 1
32519 32501 1
32519 32518 1
32519 32676 1
32603 32517 1
32603 32684 0
32619 32518 1
32657 32490 1
32657 32658 1
32657 51553 1
32658 32657 1
32673 32434 0
32673 32700 1
32676 32519 1
32676 32677 1
32676 51556 1
32677 32676 1
32684 32603 1
32684 32751 0
32700 32460 1
32700 32673 0
32700 32719 0
32700 32776 1
32709 32619 1
32718 32501 0
32718 32719 1
32718 32734 1
32719 32700 1
32719 32718 1
32719 32902 0
32733 32734 1
32733 32885 1
32734 32718 0
32734 32733 1
32734 32896 1
32751 32684 1
32751 32826 0
32776 32700 0
32776 32777 1
32776 32912 1
32777 32776 1
32826 32751 1
32826 32917 0
32885 32709 1
32885 32896 1
32896 32734 0
32896 32885 1
32896 32902 1
32902 32719 1
32902 32896 0
32902 32912 1
32912 32776 0
32912 32902 1
32912 32917 1
32917 32826 1
32917 32912 0
48797 31995 1
51522 32148 1
51539 32440 1
51540 32449 1
51553 32657 1
51556 32676 1
52814 32440 1
