Arco_i Arco_j VecesRecorrido
============================
9 1511 1
9 1598 0
10 1664 1
11 1566 1
12 13 1
12 1618 1
13 12 0
13 1919 1
1029 1100 1
1032 1102 1
1039 1043 0
1039 1095 1
1043 1039 1
1043 1098 0
1046 1152 1
1095 1039 1
1095 1098 0
1095 1108 1
1098 1043 1
1098 1095 1
1098 1110 0
1100 1029 1
1100 1102 1
1100 1156 0
1102 1032 1
1102 1100 0
1102 1103 1
1103 1102 0
1103 1158 1
1104 1159 1
1108 1095 0
1108 1110 1
1108 1153 1
1110 1098 2
1110 1108 0
1110 1154 0
1152 1153 1
1153 1108 1
1153 1154 1
1154 1110 1
1154 1156 0
1154 1162 1
1156 1100 1
1156 1154 1
1156 1157 0
1156 1239 0
1157 1156 1
1157 1158 0
1157 1182 1
1158 1103 0
1158 1157 2
1158 1159 0
1159 1104 1
1159 1158 1
1159 1186 0
1162 1190 1
1182 1157 0
1182 1183 0
1182 1880 2
1183 1182 1
1183 1185 1
1183 1241 0
1185 1183 1
1185 1186 1
1185 1242 0
1186 1159 1
1186 1185 0
1190 1162 0
1190 1220 1
1220 1190 0
1220 1249 1
1239 1156 1
1239 1407 0
1239 1880 1
1241 1183 1
1241 1242 1
1241 1880 0
1242 1185 1
1242 1241 1
1242 1243 0
1243 1242 1
1249 1220 0
1249 1274 1
1274 1249 0
1274 1298 1
1298 1274 0
1298 1339 1
1298 1340 1
1305 1306 1
1305 1343 1
1305 1880 0
1306 1305 0
1339 1298 1
1339 1340 1
1340 1298 0
1340 1339 1
1343 1305 1
1343 1350 1
1343 1409 0
1350 1343 0
1367 1404 1
1391 1413 0
1391 1907 1
1404 1367 0
1404 1407 1
1407 1239 1
1407 1404 0
1407 1409 1
1407 1510 0
1409 1343 1
1409 1407 0
1409 1413 1
1409 1484 0
1413 1391 1
1413 1409 0
1439 1488 1
1439 1908 0
1441 1466 1
1466 1441 1
1466 1522 1
1484 1409 1
1484 1488 1
1488 1439 0
1488 1484 1
1510 1407 1
1510 1511 1
1510 1618 0
1511 9 0
1511 1510 1
1522 1466 1
1566 11 0
1598 9 1
1598 1653 1
1618 1510 1
1652 1664 0
1653 1598 1
1653 1676 1
1664 10 0
1664 1652 1
1664 1676 0
1664 1919 1
1676 1653 1
1676 1664 1
1676 1920 0
1738 13 1
1769 1915 1
1880 1182 0
1880 1239 1
1880 1241 1
1880 1305 1
1907 1391 0
1908 1439 1
1919 1664 0
1919 1920 2
1920 8 1
1920 1676 1
1928 1787 1
7 8 0
7 1653 0
7 1659 0
8 7 1
9 10 0
9 11 0
10 9 0
10 1629 0
11 9 0
11 1488 0
12 1652 0
13 1769 1
1029 1032 0
1032 1029 0
1039 1046 1
1045 1046 0
1046 1039 0
1046 1045 0
1152 1045 0
1152 1162 0
1162 1152 0
1243 1306 0
1306 1243 1
1306 1336 0
1336 1306 0
1336 1350 0
1340 1367 1
1350 1336 1
1350 1391 0
1367 1340 0
1367 1425 0
1391 1350 0
1404 1425 0
1413 1439 0
1425 1367 0
1425 1404 0
1425 1441 0
1439 1413 0
1441 1425 0
1441 1522 0
1484 1511 0
1488 11 1
1511 1484 1
1522 1441 0
1566 1598 1
1598 1566 0
1618 1629 0
1629 10 1
1629 1618 0
1629 1652 1
1652 12 2
1652 1629 0
1653 7 0
1659 7 0
1659 1740 0
1740 1659 0
1740 1787 0
1767 1738 1
1767 1769 0
1769 1767 0
1769 1925 0
1787 1740 0
1787 1926 1
1907 1908 1
1908 1907 0
1915 1928 1
1915 1929 0
1925 1767 0
1926 1927 0
1927 1928 0
1927 1929 0
1929 1925 0
